Symbol,Name,Sector,"Clearing 
Type",Shares,Free Float,Listed In
786,786 Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"14,973,750","5,240,813",ALLSHR
AABS,Al-Abbas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,NC,"17,362,300","1,736,230",ALLSHRKMIALLSHR
AATM,Ali Asghar Textile Mills Limited,TEXTILE SPINNING,NC,"44,426,694","926,222",ALLSHR
ABL,Allied Bank Limited,COMMERCIAL BANKS,NC,"1,145,073,830","114,507,383",ALLSHRKSE100
ABOT,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS,NC,"97,900,302","21,103,498",ALLSHRKMIALLSHRKSE100MII30
ACIETF,Alfalah Consumer Index (ETF),EXCHANGE TRADED FUNDS,NC,"3,810,000","3,810,000",
ACPL,Attock Cement Pakistan Limited,CEMENT,NC,"137,426,961","27,485,392",ALLSHRKMIALLSHR
ADAMS,Adam Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,NC,"17,291,008","4,322,741",ALLSHR
ADMM,Artistic Denim Mills Limited,TEXTILE COMPOSITE,NC,"84,000,000","8,400,000",ALLSHR
AGHA,Agha Steel Ind.Ltd,ENGINEERING,NC,"604,879,058","302,439,529",ACIALLSHR
AGIC,Askari General Insurance Company Limited,INSURANCE,NC,"71,901,898","28,760,758",ALLSHR
AGIL,Agriauto Industries Limited,AUTOMOBILE PARTS & ACCESSORIES,NC,"36,000,000","21,600,000",ALLSHRKMIALLSHR
AGL,Agritech Limited,CHEMICAL,NC,"424,645,119","233,554,815",ALLSHR
AGLNCPS,Agritech Non-Voting (Pref) Class A,CHEMICAL,NC,"148,450,783","89,070,470",ALLSHR
AGP,AGP Limited,PHARMACEUTICALS,NC,"280,000,000","84,000,000",ALLSHRKMIALLSHRKSE100
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,NC,"79,261,700","19,815,417",ALLSHRKMIALLSHR
AGTL,Al-Ghazi Tractors Limited,AUTOMOBILE ASSEMBLER,NC,"57,964,201","3,649,876",ALLSHRKMIALLSHR
AHCL,Arif Habib Corporation Limited,FERTILIZER,NC,"408,375,000","40,837,500",ALLSHR
AHL,Arif Habib Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"65,340,000","16,335,000",ALLSHR
AHTM,Ahmad Hassan Textile Mills Limited,TEXTILE COMPOSITE,NC,"8,471,535","1,270,730",ALLSHRKMIALLSHR
AICL,Adamjee Insurance Company Limited,INSURANCE,NC,"350,000,000","262,500,000",ALLSHRKSE100
AIRLINK,Air Link Communication Limited,TECHNOLOGY & COMMUNICATION,NC,"395,269,231","98,817,308",ALLSHRKMI30KMIALLSHRKSE100MZNPI
AKBL,Askari Bank Limited,COMMERCIAL BANKS,NC,"1,449,299,207","434,789,762",ALLSHRKSE100
AKDHL,AKD Hospitality Limited,MISCELLANEOUS,NC,"2,507,273","1,002,909",ALLSHR
AKDSL,AKD Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"557,834,171","27,891,709",ALLSHR
AKGL,Al-Khair Gadoon Limited,MISCELLANEOUS,NC,"10,000,000","1,000,000",ALLSHRKMIALLSHR
ALAC,Askari Life Assurance Company Limited,INSURANCE,NC,"150,172,014","52,560,205",ALLSHR
ALIFE,Adamjee Life Assurance Company Limited,INSURANCE,NC,"250,000,000","25,000,000",ALLSHR
ALNRS,Al-Noor Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,NC,"20,473,702","6,142,111",ALLSHRKMIALLSHR
ALTN,Altern Energy Limited,POWER GENERATION & DISTRIBUTION,NC,"363,380,000","90,845,000",ALLSHR
AMBL,Apna Microfinance Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"428,984,962","21,449,248",ALLSHR
ANL,Azgard Nine Limited,TEXTILE COMPOSITE,NC,"485,409,731","242,704,866",ALLSHRKMIALLSHR
ANLNV,Azgard Nine Non-Voting Ordinary Shares,TEXTILE COMPOSITE,NC,"5,965,608","1,789,682",ALLSHR
ANLPS,Azgard Nine 8.95%(Pref),TEXTILE COMPOSITE,NC,"66,125,083",0,ALLSHR
ANTM,AN Textile Mills Limited,TEXTILE COMPOSITE,NC,"9,660,000","1,449,000",ALLSHRKMIALLSHR
APL,Attock Petroleum Limited,OIL & GAS MARKETING COMPANIES,NC,"124,416,000","24,883,200",ALLSHRKMIALLSHRKSE100
ARCTM,Arctic Textile Mills Limited,TEXTILE SPINNING,NC,"13,174,800","2,551,500",ALLSHRKMIALLSHR
ARPAK,Arpak International Investments Ltd.,MISCELLANEOUS,NC,"4,000,000","351,556",ALLSHR
ARPL,Archroma Pakistan Limited,CHEMICAL,NC,"34,563,341","8,640,835",ALLSHRKMIALLSHR
ARUJ,Aruj Industries Limited,TEXTILE COMPOSITE,NC,"10,457,890","2,402,167",ALLSHR
ASHT,Ashfaq Textile Mills Limited,TEXTILE WEAVING,NC,"46,565,035","2,328,252",ALLSHRKMIALLSHR
ASIC,Asia Insurance Company Limited,INSURANCE,NC,"73,008,243","21,902,473",ALLSHR
ASL,Aisha Steel Mills Limited,ENGINEERING,NC,"924,800,809","325,505,584",ALLSHR
ASLCPS,Aisha Steel Convt (Pref) Right,ENGINEERING,NC,"137,920","118,972",ALLSHR
ASLPS,Aisha Steel Convertible (Pref),ENGINEERING,NC,"44,357,057","4,435,706",ALLSHR
ASTL,Amreli Steels Limited,ENGINEERING,NC,"297,011,427","74,252,857",ALLSHR
ASTM,Asim Textile Mills Limited,TEXTILE SPINNING,NC,"15,177,000","2,276,550",ALLSHRKMIALLSHR
ATBA,Atlas Battery Limited,AUTOMOBILE PARTS & ACCESSORIES,NC,"35,017,034","7,003,407",ALLSHRKMIALLSHR
ATIL,Atlas Insurance Limited,INSURANCE,NC,"149,415,691","29,883,135",ALLSHR
ATLH,Atlas Honda Limited,AUTOMOBILE ASSEMBLER,NC,"124,087,935","12,408,794",ALLSHRKMIALLSHRKSE100
ATRL,Attock Refinery Limited,REFINERY,NC,"106,616,250","42,646,500",ALLSHRJSMFIKMI30KMIALLSHRKSE100KSE30MII30MZNPI
AVN,Avanceon Limited,TECHNOLOGY & COMMUNICATION,NC,"415,022,831","124,506,849",ALLSHRKMIALLSHRKSE100
AWTX,Allawasaya Tex. & Finishing Mills Ltd,TEXTILE SPINNING,NC,"800,000","2,851",ALLSHRKMIALLSHR
BAFL,Bank Alfalah Limited,COMMERCIAL BANKS,NC,"1,577,165,119","709,724,304",ALLSHRBKTIJSGBKTIKSE100KSE30PSXDIV20
BAFS,Baba Farid Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,NC,"9,450,000","472,500",ALLSHRKMIALLSHR
BAHL,Bank AL Habib Limited,COMMERCIAL BANKS,NC,"1,111,425,419","777,997,791",ALLSHRBKTIJSGBKTIKSE100KSE30NBPPGINITPGIPSXDIV20
BATA,Bata Pakistan Limited,LEATHER & TANNERIES,NC,"7,560,000","1,786,364",ALLSHRKMIALLSHR
BBFL,Big Bird Foods Limited,FOOD & PERSONAL CARE PRODUCTS,NC,"298,905,786","104,617,025",ALLSHR
BCL,Bolan Castings Limited,ENGINEERING,NC,"11,472,529","6,309,891",ALLSHRKMIALLSHR
