Title,Author,PublishDate,Content,Data,Source,Sentiment
PSX: Oct witnesses flurry of all-time highs,,"01 Nov, 2024 06:51am",KARACHI: Pakistan Stock Exchange performed exceptionally well and hit historic highest-ever levels during the month of October 2024.,"The benchmark KSE-100 Index surged by 7,853 points or 9.68 percent on MoM basis to close at 88,966.77 points. During the month, the index hit 91,358.15 points intra-day highest and 90,864.09 points highest-ever closing level.
“This bull run in the market during the month can be attributed to institutional buying, good corporate earnings announcements and expectation of decline in policy rate in the upcoming monetary policy announcement”, an analyst at Topline Securities said.
Major developments during the outgoing month were  CPI inflation number for the month of September 2024 which clocked in at 6.9 percent against 9.6 percent in August 2024 which triggered the overall downward spiral in yields on fixed income instruments; Saudi delegation visit to Pakistan, where major feat was news that Saudi firm was set to buy a stake in Barrick Gold’s Reko Diq gold and copper mine; Pakistan’s worker remittances in September 2024 clocking in at $2.85 billion (up 29 percent YoY) and current account posting a surplus of $119 million for the month of September 2024 (making it second consecutive month with current account surplus).
Average daily traded volume and value during the month stood at 519 million shares and Rs 25 billion respectively.
Copyright Business Recorder, 2024",Business Recorder,Unprocessed
Selling frenzy trims gains,,"01 Nov, 2024 06:51am","KARACHI: Pakistan Stock Exchange on Thursday witnessed a bearish trend and despite positive opening, closed in deep red due to selling pressure as investors opted to book profit on available margins.","The benchmark KSE-100 Index plunged by 1,319.80 points or 1.46 percent and closed at 88,966.77 points. The index hit 90,700.23 points intraday high however dropped into negative zone due to selling pressure.
Trading activity also remained low as daily volumes on ready counter decreased to 546.274 million shares as compared to 614.564 million shares traded on Wednesday while total daily traded value on the ready counter declined to Rs 24.117 billion against previous session’s Rs 27.341 billion.
BRIndex100 decreased by 118.32 points or 1.23 percent to close at 9,483.07 points with total daily turnover of 458.800 million shares.
BRIndex30 declined by 202.05 points or 0.71 percent to close at 28,370.98 points with total daily trading volumes of 295.863 million shares.
Foreign investors also remained net sellers of shares worth $32,891. The market capitalization declined by Rs 159 billion to stand at Rs 11.536 trillion. Out of total 437 active scrips, 240 closed in negative and 137 in positive while the value of 60 stocks remained unchanged.
K-Electric was the volume leader with 73.617 million shares and gained Rs 0.18 to close at Rs 4.44 followed by Bank of Punjab that inched up by Rs 0.29 to close at Rs 5.82 with 42.667 million shares. WorldCall Telecom lost Rs 0.02 to close at Rs 1.22 with 25.898 million shares.
Hoechst Pakistan and Unilever Pakistan Foods were the top gainers increasing by Rs 140.46 and Rs 112.49 respectively to close at Rs 2,257.58 and Rs 19,100.00 while PIA Holding Company LimitedB and Nestle Pakistan were the top losers declining by Rs 91.28 and Rs 75.73 respectively to close at Rs 831.24 and Rs 6,552.02.
An analyst at Topline Securities said the KSE-100 Index recent rally was on account of expectation of decline in policy rate cut; profit-taking was observed today on the back of decline in T-Bill auction which can be attributed to buy on rumor and sell on news phenomena.
In the trading session top traded value wise companies were SAZEW (Rs.2.15 billion), PSO (Rs.1.83 billion), ATRL (Rs.1.57 billion), PPL (Rs.1.22 billion) and TRG (Rs.995 million).
Point wise major contribution came from bank and fertilizer companies, as MCB PA, HBL PA, MEBL PA, ENGRO PA and EFERT PA lost value to weigh down on the index by minus 551 points.
BR Automobile Assembler Index lost 25.88 points or 0.14 percent to close at 17,881.66 points with total turnover of 9.701 million shares.
BR Cement Index declined by 183.4 points or 1.94 percent to close at 9,269.96 points with 55.330 million shares.
BR Commercial Banks Index plunged by 614.95 points or 2.42 percent to close at 24,825.88 points with 101.027 million shares.
BR Power Generation and Distribution Index increased by 87.38 points or 0.58 percent to close at 15,143.72 points with 96.628 million shares.
BR Oil and Gas Index decreased by 87.47 points or 1.01 percent to close at 8,588.98 points with 36.546 million shares.
BR Tech. & Comm. Index fell by 64.72 points or 1.47 percent to close at 4,343.35 points with 78.602 million shares.
“After significant intraday fluctuations, the KSE-100 Index faced notable volatility, closing the session in negative territory with a loss of over 1,300 points,” Mohammed Waqar Iqbal at JS Global Capital said.
Profit-taking was concentrated in key sectors, including cement, fertilizer, and financial services.
Copyright Business Recorder, 2024",Business Recorder,Unprocessed
"Profit-taking persists, KSE-100 loses 1,320 points to close below 89,000",,,"Profit-taking dominated proceedings at the Pakistan Stock Exchange (PSX) for the second straight session on Thursday, pulling the KSE-100 Index down by 1,320 points.","The KSE-100 started the session with some buying, hitting an intra-day high of 90,700.23.
However, investors soon moved to locking-in gains and a selling spree pushed the index to the negative territory.
At close, the benchmark index settled at 88,966.76, down by 1319.80 points or 1.46%.
“The equity market closed on a negative note today, mainly due to profit-taking. The benchmark index remained in the red for most of the day, losing significant points in the latter half of the session,” brokerage house Ismail Iqbal Securities said in its post-market report.
Another brokerage house Topline Securities said profit-taking was observed on the back of a decline in T Bill auction on Wednesday, which could be attributed to buy on rumor and sell on news phenomena, it added.
During the Thursday’s session, MCB, HBL, MEBL, ENGRO, and EFERT lost value to weigh down on the index by -551 points, it added.
On a monthly basis, the KSE-100 Index gained 9.68% on the back of a bull-run in the market during October, which could be attributed to institutional buying, good corporate earnings announcements, and expectation of decline in policy rate in the upcoming monetary policy announcement, Topline said.
The next Monetary Policy Committee meetingis scheduled for November 4, 2024, with analysts expecting a major cut in the key policy rate.
On Wednesday,profit-taking erased all intra-day gainsand threw the KSE-100 stocks in the red to close lower by 577.52 points.
Earlier, a bullish momentum had persisted at the PSX in recent weeks, on account of strong corporate results, which experts said had bolstered investor confidence.
Hub Power Company Limited (HUBCO), Pakistan’s largest Independent Power Producer (IPP),is in the process of establishing a venturenamely Hubco Green (Private) Limited, dedicated to developing an Electric Vehicle (EV) charging infrastructure across the country.
The IPP shared the development in its quarterly report released to the PSX on Thursday.
The Board of Directors (BoD) of Shell Pakistan Limited (SHEL)approved changing the company’s nameto the proposed ‘Wafi Energy Pakistan Limited’.
As per a notice released by SHEL, the development comes following Wafi Energy Holding Limited (Wafi) acquisition of an additional 22,165,837 ordinary shares of SHEL, representing approximately 10.36% of the company’s total issued share capital.
Globally,Asian stocks slid on Thursdayas chip-sector stocks tracked overnight declines by Wall Street peers and Facebook owner Meta Platforms warned of accelerating costs for artificial intelligence.
Japan’s Nikkei share average fell 0.5% as of 0155 GMT.
South Korea’s Kospi dropped 1.3%.
North Korea stirred regional tensions by test firing what a US official said was an intercontinental ballistic missile into the sea off the reclusive nation’s east coast on Thursday.
Hong Kong’s Hang Seng added 0.2%, but mainland Chinese blue chips slipped 0.7%.
Most major stockmarkets in the Gulf rose in early tradeon Thursday, buoyed by hopes for a potential ceasefire deal between Israel and Hezbollah.
Lebanon’s prime minister expressed hope on Wednesday that a ceasefire deal with Israel would be announced within days as Israel’s public broadcaster published what it said was a draft agreement providing for an initial 60-day truce.
The push for a ceasefire for Lebanon is taking place alongside a similar diplomatic drive to end hostilities in Gaza. Saudi Arabia’s benchmark stock index gained 0.2%, with ACWA Power Company advancing 3.9% and aluminium products manufacturer Al Taiseer Group up 0.2%.
Riyadh Air, the kingdom’s newest airline, said on Wednesday it had placed an order for 60 Airbus narrowbody A321-family jets as it prepares to start operations in 2025.
Dubai’s main share index edged 0.1% higher, with Emirates Central Cooling Systems Corp rising 2.4%.
The Qatari benchmark added 0.4%, led by a 1.9% rise in petrochemical maker Industries Qatar.
Meanwhile,the Pakistani rupee remained largely stableagainst the US dollar, depreciating 0.02% in the inter-bank market on Thursday. At close, the currency settled at 277.85, a loss of Re0.06 against the greenback.
Volume on the all-share index decreased to 546.27 million from 614.56 million on Wednesday.
The value of shares declined to Rs24.12 billion from Rs27.34 billion in the previous session.
K-Electric Ltd was the volume leader with 73.62 million shares, followed by B.O.Punjab with 42.67 million shares, and WorldCall Telecom with 25.90 million shares.
Shares of 437 companies were traded on Thursday, of which 137 registered an increase, 240 recorded a fall, while 60 remained unchanged.
",Business Recorder,Unprocessed
KSE-100 Index cos: Q1 earnings down 14pc to Rs403bn YoY,,,"KARACHI: The KSE-100 Index companies posted the earnings of Rs403bn down 14 percent YoY in first quarter of FY25 against Rs468billion in the same quarter in FY24, while up 16 percent on QoQ basis. In US$ terms, profitability recorded at $1.4billion in the first quarter of FY25.","This YoY deviation in earnings is majorly contributed to by E&Ps (down 21 percent YoY), Food (down 15 percentYoY), and Refinery which turned into losses of Rs5.3billion in the first quarter of FY25 from profit of Rs12.7billion in the same quarter of FY24, an analyst at Topline Securities, in a research report said.
Banking sector’s earnings remained flat on YoY basis to Rs156billion (39 percent of the total KSE-100 index profitability) in the first quarter of FY25 despite decline in interest rates, the report said.
Whereas, profitability of the fertilizer sector increased by 16 percentYoY to Rs56billion (14 percent of total KSE-100 index profitability) in the first quarter of FY25, amid higher Urea and DAP prices by 32 percent and 9 percent despite lower Urea and DAP offtake by 17 percent and 20 percent, respectively, it added.
The report said that Cement sector’s earnings surged to Rs35billion up 14 percent YoY in the first quarter of FY25 mainly due to higher retention prices along with lower coal cost and efficient power mix despite lower local offtake.
Pharmaceutical sector witnessed a 5.6x YoY growth in profitability to Rs5.6billion in this quarter as compared to Rs1.0 billion in the said quarter in FY24, primarily due to an improvement in margins following the deregulation of non-essential products and a decline in finance costs.
Other sectors like Refinery, OMCs, Textile, and E&Ps recorded decline in earnings during the first quarter of FY25 with profitability decline of 142 percent YoY, 86 percent YoY, 60 percent YoY and 21 percent YoY, respectively. Technology sector reported loss of Rs1.4billion in this quarter primarily led by losses of Pakistan Telecommunication Company (PTC).
“For our analysis, we have taken 95 companies out of the total 100 companies (that have announced their results), which represents 99 percent of the KSE-100 market capitalization. We estimate that adding remaining companies of Index would not materially impact profitability growth trend,” the report said.
The KSE-100 Index companies announced cash dividend of Rs106billion (up 3.0 percent YoY) in the first quarter of FY25 compared to Rs104billion in the same quarter in FY24.
This translates into 26 percent dividend payout in the first quarter of FY25 against 22 percent last year and 70 percent in the 4th quarter of FY24.
The report said that payout ratio of the E&Ps sector increased to 21 percent in the first quarter of 2025, compared to 6 percent in the same quarter in 2024, following an improvement in cash recovery of companies due to the increase in gas prices. Banking sector’s payout ratio also rose from 36 percent in the first quarter of 2024 to 38 percent in the first quarter of 2025.
Banking sector remained the largest contributor with dividend announced of Rs59billion in the first quarter of FY25 followed by E&Ps (Rs18billion), and Fertilizers (Rs6billion).
Copyright Business Recorder, 2024",Business Recorder,Unprocessed
PSX turns bearish,,,"KARACHI: Pakistan Stock Exchange on Wednesday opened on a positive note hitting new highest-ever intraday high, however failed to continue this trend and closed in negative zone due to selling pressure as the investors opted to book profit on available margins.","The benchmark KSE-100 Index plunged by 577.52 points or 0.64 percent and closed at 90,286.57 points. During the session, the index crossed 91,000 psychological level to hit 91,872.63 points intra-day highest ever level, however failed to continue this trend and dropped into negative zone to hit 90,003.31 points intra-day low due to selling pressure.
Trading activity however improved as total daily volumes on ready counter increased to 614.564 million shares as compared to 602.810 million shares traded on Tuesday while daily traded value on the ready counter declined to Rs 27.341 billion against previous session’s Rs 28.203 billion.
BRIndex100 decreased by 94.63 points or 0.98 percent to close at 9,601.39 points with total daily turnover of 529.072 million shares.
BRIndex30 declined by 310.64 points or 1.08 percent to close at 28,573.03 points with total daily trading volumes of 269.831 million shares.
The foreign investors however remained net buyers of shares worth $158,929. Total market capitalization declined by Rs 69 billion to stand at Rs 11.695 trillion. Out of total 446 active scrips, 235 closed in negative and 158 in positive while the value of 53 stocks remained unchanged.
Silk Bank was the volume leader with 68.504 million shares and gained Rs 0.10 to close at Rs 1.18 followed by The Searle Company that declined by Rs 3.93 to close at Rs 65.33 with 26.744 million shares. WorldCall Telecom lost Rs 0.03 to close at Rs 1.24 with 22.729 million shares.
Rafhan Maize Products Company and Philip Morris Pakistan were the top gainers increasing by Rs 154.84 and Rs 74.92 respectively to close at Rs 7,750.00 and Rs 824.13 while Unilever Pakistan Foods and Ismail Industries were the top losers declining by Rs 192.49 and Rs 117.98 respectively to close at Rs 18,987.51 and Rs 1,582.01.
An analyst at Topline Securities said that the Pakistan Stock Exchange witnessed a turbulent trading session, with the benchmark KSE-100 index oscillating between an impressive high of plus 1,008 points and a low of minus 860 points. Ultimately, the index closed at 90,286 points, reflecting a decline of 577 points, or 0.64 percent. This downturn was primarily driven by investors engaging in profit-taking, seizing the opportunity to lock in recent gains, thereby pushing the market into the red.
A key factor influencing the market behaviour was the heightened anticipation surrounding the T-bill auction, with investors closely monitoring its outcome. The auction is expected to provide further clarity on the direction of interest rates, which could play a crucial role in shaping near-term market dynamics.
On the performance front, key contributors to the index included SYS, PPL, GLAXO, EFERT, and ABL, which together added 264 points. However, this positive momentum was outweighed by the performance of major laggards such as FFC, NBP, HUBC, UBL, and HBL, which collectively shaved off 360 points from the index.
BR Automobile Assembler Index gained 37.18 points or 0.21 percent to close at 17,907.54 points with total turnover of 6.209 million shares.
BR Cement Index declined by 138.39 points or 1.44 percent to close at 9,453.36 points with 65.069 million shares.
BR Commercial Banks Index lost 55.82 points or 0.22 percent to close at 25,440.83 points with 100.601 million shares.
BR Power Generation and Distribution Index decreased by 211.41 points or 1.38 percent to close at 15,056.34 points with 40.966 million shares.
BR Oil and Gas Index fell by 52.03 points or 0.6 percent to close at 8,676.45 points with 56.342 million shares.
BR Tech. & Comm. Index increased by 72.08 points or 1.66 percent to close at 4,408.07 points with 72.438 million shares.
Ahsan Mehanti at Arif Habib Corporation said stocks closed under pressure on institutional profit taking in overbought scrips.
He said foreign outflows, rising industrial gas tariff, rupee instability and concerns for outcome of Saudi investors seeking guarantees over stable government policies for $2.0 billion investment played a catalytic role in bearish close.
Copyright Business Recorder, 2024",Business Recorder,Unprocessed
Bank Makramah to secure Rs5bn advance from Lootah,,,"KARACHI: Bank Makramah Limited and Abdulla Nasser Abdulla Hussain Lootah have entered into an agreement, subject to the terms of which Abdulla Nasser Abdulla Hussain Lootah will deposit Rs 5 billion in the bank as advance against share capital by December 31, 2024, in the event that compliance of the bank with the regulatory capital requirements as prescribed by the State Bank of Pakistan is not achieved.","This was announced by the bank, through material information sent to Pakistan Stock Exchange here on Wednesday.
Copyright Business Recorder, 2024",Business Recorder,Unprocessed
Pakistan’s largest IPP HUBCO posts Rs20.3bn profit in 1QFY25 despite revenue dip,,,"Despite lower revenue, Hub Power Company Limited (HUBCO), Pakistan’s largest Independent Power Producer (IPP), saw its profit increase by nearly 11% to Rs20.31 billion in the quarter that ended September 30, 2024.","On a consolidated basis, the company registered a profit of Rs18.32 billion in the same period of the previous year, according to a notice sent to the Pakistan Stock Exchange (PSX) on Wednesday.
Earnings per share (EPS) increased to Rs14.74 in the period under review compared to Rs13.17 in the same period last year (SPLY).
On a consolidated basis, the IPP’s revenue from contracts with customers lowered by 5% to Rs32.04 billion in 1QFY25, compared to Rs33.73 billion recorded in the prior year.
The company’s cost of revenue declined nearly 18% to Rs13.99 billion in 1QFY25, compared to Rs16.99 billion in SPLY.
As a result, the gross profit of HUBCO increased by nearly 8% to Rs18.05 billion in 1QFY25. This translates to a profit margin of 56% in 1QFY25, as compared to 49% in SPLY
Meanwhile, the company’s other income significantly increased by over 265%, hitting Rs1.03 billion in 1QFY25, compared to Rs280.8 million in SPLY.
Pakistan’s largest IPP HUBCO posts profit of Rs75.3bn in FY24
The power producer’s profit from operations clocked in at Rs18.4 billion in 1QFY25, up 11%.
HUBCO saw its cost of finance lowered to Rs5.5 billion in 1QFY25, a decrease of nearly 23%.
On the other hand, HUBCO earned Rs10.3 billion as a share of profits from associates and ventures in 1QFY25, a decrease of over 14% yearly.
The company’s profit before taxation stood at Rs23.3 billion, up 8%.
The IPP paid Rs2.98 billion in taxes in 1QFY25, down 7%.
Earlier this month,HUBCO initiated a negotiated settlementagreement with the government amid the termination of the previous agreement relating to the company’s 1292 MW power generation project located at District Lasbella, Baluchistan.",Business Recorder,Unprocessed
KSE-100 snaps 7-session rally as profit-taking erases intra-day gains,,,Profit-taking at the Pakistan Stock Exchange (PSX) erased all intra-day gains and threw stocks in the red after the benchmark KSE-100 Index scaled new peaks on Wednesday.,"Following a strong buying spree from the previous seven sessions, the KSE-100 started trading on Wednesday positive, hitting an intra-day high of 91,872.63.
However, profit-taking in the latter hours pushed the index to negative territory and an intra-day low of 90,003.31.
At close, the benchmark index settled at 90,286.57, down by 577.52 points or 0.64%.
“The Pakistan Stock Exchange witnessed a turbulent trading session today [Wednesday], with the benchmark index oscillating between an impressive high of 1,008 points and a low of 860 points,” brokerage house Topline Securities said in its post-market report.
“This downturn was primarily driven by investors engaging in profit-taking, seizing the opportunity to lock in recent gains, thereby pushing the market into the red,” it added.
A key factor influencing today’s market behaviour was the heightened anticipation surrounding the T-bill auction, with investors closely monitoring its outcome. The auction is expected to provide further clarity on the direction of interest rates, which could play a crucial role in shaping near-term market dynamics, according to Topline.
On the performance front, key contributors to the index included SYS, PPL, GLAXO, EFERT, and ABL, which together added 264 points. However, the positive momentum was outweighed by the performance of major laggards such as FFC, NBP, HUBC, UBL, and HBL, which collectively shaved off 360 points from the index, the brokerage house reported.
In the last seven sessions, the KSE-100 had gained more than 5,600 points amid positive indicators.
Bullish momentum had persisted at the PSX in recent weeks, on account of strong corporate results, which experts say have bolstered investor confidence.
Moreover, anticipation of a significant policy rate cut by Pakistan’s central bank’s upcoming Monetary Policy Committee (MPC), scheduled to be held next week, is also fuelling the ongoing rally.
On Tuesday,PSX maintained its positive trajectoryand hit new all-time highs on the back of investors’ strong interest and healthy buying. The benchmark KSE-100 Index surged by 668.57 points or 0.74% and closed at its highest-ever level of 90,864.09 points.
However, many said a correction was long over-due as the KSE-100 scaled new peaks almost each session.
Globally,Asian shares eased on Wednesdayon the back of weakness in China, as investors prepare for a tightly contested US election that could have huge ramifications for the world’s second-largest economy, even as Beijing tries to shore up growth.
Gold rose to an all-time high as jitters over the close US presidential race supported the yellow metal, while bitcoin also flirted with a record peak as markets weigh the prospect of a victory by Republican candidate Donald Trump.
MSCI’s broadest index of Asia-Pacific shares outside Japan fell 0.22% in early trade, tracking a decline in Chinese assets.
Bitcoin stood just a whisker away from its peak of $73,803.25 and last bought $72,322.08, on track to gain 13% for the month.
The world’s largest cryptocurrency has been bolstered by the growing possibility of Trump’s return to the White House, as he is seen taking a more favourable stance towards digital assets.
Meanwhile,the Pakistani rupee remained largely stableagainst the US dollar, depreciating 0.02% in the inter-bank market on Wednesday. At close, the currency settled at 277.79, a loss of Re0.05 against the greenback.
Volume on the all-share index increased to 614.56 million from 602.81 million on Tuesday.
However, the value of shares declined to Rs27.34 billion from Rs28.20 billion in the previous session.
Silk Bank Ltd was the volume leader with 68.50 million shares, followed by The Searle Company with 26.74 million shares, and WorldCall Telecom with 22.73 million shares.
Shares of 446 companies were traded on Wednesday, of which 158 registered an increase, 235 recorded a fall, while 53 remained unchanged.
",Business Recorder,Unprocessed
Historic highs persist,,,KARACHI: Pakistan Stock Exchange maintained its positive trajectory and hit new highest-ever levels on Tuesday on the back of investors strong interest and healthy buying on robust corporate results and expectations of further cut in interest rate.,"The benchmark KSE-100 Index surged by 668.57 points or 0.74 percent and closed at its highest-ever level of 90,864.09 points.
The index crossed 91,000 psychological level to hit 91,358.15 points intraday highest ever level, however closed at slightly lower level due to profit taking in some stocks.
Trading activity also improved as total daily volumes on ready counter increased to 602.810 million shares as compared to 567.264 million shares traded on Monday however total daily traded value on the ready counter declined to Rs 28.203 billion against previous session’s Rs 29.210 billion.
BRIndex100 added 60.3 points or 0.63 percent to close at 9,696.02 points with total daily turnover of 520.098 million shares.
BRIndex30 increased by 263.69 points or 0.92 percent to close at 28,883.67 points with total daily trading volumes of 284.106 million shares.
Foreign investors however remained on the selling side and withdrew $5.018 million from the local equity market. Total market capitalization increased by Rs 36 billion to Rs 11.764 trillion. Out of total 440 active scrips, 219 closed in negative and 171 in positive while the value of 50 stocks remained unchanged.
WorldCall Telecom was the volume leader with 41.401 million shares and inched up by Rs 0.03 to close at Rs 1.27 followed by Silk Bank that gained Rs 0.08 to close at Rs 1.08 with 31.281 million shares. Pace (Pak) Limited lost Rs 0.28 to close at Rs 5.73 with 30.208 million shares.
Unilever Pakistan Foods and Siemens (Pakistan) Engineering were the top gainers increasing by Rs 162.00 and Rs 122.62 respectively to close at Rs 19,180.00 and Rs 1,348.81 while Hallmark Company and Sazgar Engineering Works were the top losers declining by Rs 27.38 and Rs 22.00 respectively to close at Rs 816.66 and Rs 992.56.
An analyst at Topline Securities said that the Pakistan Stock Exchange maintained its positive trajectory as the KSE-100 Index surged to an intraday high of 91,358 level, gaining 1,162 points before closing at 90,864 points, up by 668 points or 0.74 percent. This marks a continuation of the market’s bullish momentum.
The positive performance was primarily driven by robust corporate earnings, which exceeded expectations and laid a strong foundation for investor confidence. Institutional buying further supported the rally, reinforcing the overall optimism.
Key contributors to the index included FFC, SYS, CHCC, HUBC, and GLAXO, which collectively added 515 points.
BR Automobile Assembler Index lost 8.03 points or 0.04 percent to close at 17,870.36 points with total turnover of 5.239 million shares.
BR Cement Index increased by 98.98 points or 1.04 percent to close at 9,591.75 points with 84.868 million shares.
BR Commercial Banks Index added 80.72 points or 0.32 percent to close at 25,496.65 points with 62.340 million shares.
BR Power Generation and Distribution Index surged by 293.42 points or 1.96 percent to close at 15,267.75 points with 36.969 million shares.
BR Oil and Gas Index inched down by 9.74 points or 0.11 percent to close at 8,728.48 points with 53.694 million shares.
BR Tech. & Comm. Index soared by 65.94 points or 1.54 percent to close at 4,335.99 points with 88.493 million shares.
Ahsan Mehanti at Arif Habib Corporation said stocks reach new all-time high as investor weigh robust financial results and speculate over imminent SBP policy rate cut this week.
He said foreign interest in blue chip banking and fertiliser stocks and institutional interest amid easing lending rates played a catalyst role in record bullish activity in PSX.
Copyright Business Recorder, 2024",Business Recorder,Unprocessed
"Stock rally continues at PSX as KSE-100 settles at new all-time high of 90,864",,,Buying spree showed no signs of slowing down at the Pakistan Stock Exchange (PSX) as the benchmark KSE-100 Index settled at a new record high on Tuesday.,"The KSE-100 commenced trading on a positive note, hitting an intra-day high of 91,358.15. However, selling was witnessed in the final hours of trading, which trimmed intra-day gains.
At close, the benchmark index settled at 90,864.09, an increase of 668.58 points or 0.74%.
“The positive performance was primarily driven by robust corporate earnings, which exceeded expectations and laid a strong foundation for investor confidence. Institutional buying further supported the rally, reinforcing the overall optimism,” brokerage house Topline Securities said in its post-market report.
Key contributors to the index included FFC, SYS, CHCC, HUBC, and GLAXO, which collectively added 515 points, it added.
The stock market has been on a record-breaking spree in recent weeks, amid investors’ expectations of an imminent rate cut in the upcoming monetary policy, alongside strong corporate earnings.
On Monday,PSX opened on a strong positive noteand hit record high levels before selling pressure erased most of the intra-day gains. The benchmark KSE-100 index settled at 90,195.52, which was its then-highest-ever level with a net gain of 201.55 points or 0.22%.
Globally,Asian stocks were mixed in volatile tradingon Tuesday as investors girded for three days of tech megacap earnings reports on Wall Street, kicking off with Google parent Alphabet later in the day.
The dollar drifted not far from a three-month high with one of the Federal Reserve’s preferred employment gauges - the JOLTS job openings report - due on Tuesday, ahead of highly anticipated monthly non-farm payrolls data on Friday.
The Nikkei index recovered from a cautious start to build on the previous session’s gains.
The US election has entered its final stretch, with opinion polls still too close to call a winner, despite some betting sites and financial markets leaning toward a win for Republican Donald Trump over Democrat Kamala Harris.
Crude ticked up slightly following its plunge on Monday on signs the war in the Middle East would not widen, after Israel avoided targeting oil and nuclear facilities in a retaliatory strike on Iran at the weekend.
Meanwhile,the Pakistani rupee registered a marginal declineagainst the US dollar, depreciating 0.02% in the inter-bank market on Tuesday. At close, the currency settled at 277.74, a loss of Re0.06 against the greenback.
Volume on the all-share index increased to 602.81 million from 567.26 million on Monday.
However, the value of shares declined to Rs28.20 billion from Rs29.21 billion in the previous session.
WorldCall Telecom was the volume leader with 41.40 million shares, followed by Silk Bank Ltd with 31.28 million shares, and Pace (Pak) Ltd with 30.21 million shares.
Shares of 440 companies were traded on Tuesday, of which 171 registered an increase, 219 recorded a fall, while 50 remained unchanged.
",Business Recorder,Unprocessed
