Title,Link,Excerpt,Timestamp
PSX: Oct witnesses flurry of all-time highs,https://www.brecorder.com/news/40330078/psx-oct-witnesses-flurry-of-all-time-highs,KARACHI: Pakistan Stock Exchange performed exceptionally well and hit historic highest-ever levels during the month...,2024-11-01T06:51:35+05:00
Selling frenzy trims gains,https://www.brecorder.com/news/40330159/selling-frenzy-trims-gains,"KARACHI: Pakistan Stock Exchange on Thursday witnessed a bearish trend and despite positive opening, closed in deep...",2024-11-01T06:51:34+05:00
"Profit-taking persists, KSE-100 loses 1,320 points to close below 89,000",https://www.brecorder.com/news/40330026/profit-taking-persists-kse-100-loses-1320-points-to-close-below-89000,Profit-taking dominated proceedings at the Pakistan Stock Exchange (PSX) for the second straight session on�,2024-10-31T23:00:43+05:00
KSE-100 Index cos: Q1 earnings down 14pc to Rs403bn YoY,https://www.brecorder.com/news/40329881/kse-100-index-cos-q1-earnings-down-14pc-to-rs403bn-yoy,KARACHI: The KSE-100 Index companies posted the earnings of Rs403bn down 14 percent YoY in first quarter of FY25...,2024-10-31T07:34:04+05:00
PSX turns bearish,https://www.brecorder.com/news/40329918/psx-turns-bearish,"KARACHI: Pakistan Stock Exchange on Wednesday opened on a positive note hitting new highest-ever intraday high,...",2024-10-31T06:18:27+05:00
Bank Makramah to secure Rs5bn advance from Lootah,https://www.brecorder.com/news/40329903/bank-makramah-to-secure-rs5bn-advance-from-lootah,"KARACHI: Bank Makramah Limited and Abdulla Nasser Abdulla Hussain Lootah have entered into an agreement, subject to...",2024-10-31T06:18:26+05:00
Pakistan’s largest IPP HUBCO posts Rs20.3bn profit in 1QFY25 despite revenue dip,https://www.brecorder.com/news/40329769/pakistans-largest-ipp-hubco-posts-rs203bn-profit-in-1qfy25-despite-revenue-dip,"Despite lower revenue, Hub Power Company Limited (HUBCO), Pakistan’s largest Independent Power Producer (IPP), saw...",2024-10-30T21:09:35+05:00
KSE-100 snaps 7-session rally as profit-taking erases intra-day gains,https://www.brecorder.com/news/40329749/kse-100-snaps-7-session-rally-as-profit-taking-erases-intra-day-gains,Profit-taking at the Pakistan Stock Exchange (PSX) erased all intra-day gains and threw stocks in the red after the...,2024-10-30T21:59:44+05:00
Historic highs persist,https://www.brecorder.com/news/40329732/historic-highs-persist,KARACHI: Pakistan Stock Exchange maintained its positive trajectory and hit new highest-ever levels on Tuesday on ...,2024-10-30T06:32:13+05:00
"Stock rally continues at PSX as KSE-100 settles at new all-time high of 90,864",https://www.brecorder.com/news/40329544/stock-rally-continues-at-psx-as-kse-100-settles-at-new-all-time-high-of-90864,Expectations of cut in key policy rate along with corporate results' announcements drive positive sentiment,2024-10-29T22:38:46+05:00
Zarea Limited seeks Rs1bn listing on PSX,https://www.brecorder.com/news/40329464/zarea-limited-seeks-rs1bn-listing-on-psx,"KARACHI: Zarea Limited, Pakistan’s leading e-commerce marketplace for commodities, has filed for listing on the...",2024-10-29T03:27:36+05:00
Indus Motor temporarily halts operations citing inventory shortage,https://www.brecorder.com/news/40329370/indus-motor-temporarily-halts-operations-citing-inventory-shortage,"Indus Motor Company (INDU), the manufacturer/assembler of Toyota vehicles in Pakistan, has announced to suspend its...",2024-10-28T22:16:31+05:00
Indus Motor Company’s profit up 58% at Rs5.09bn in 1QFY25,https://www.brecorder.com/news/40329363/indus-motor-companys-profit-up-58-at-rs509bn-in-1qfy25,"Indus Motor Company (IMC) reported a profit of Rs5.09 billion for the quarter ended September 30, 2024 (1QFY25), an...",2024-10-28T12:11:48+05:00
"Some buying momentum persists at PSX, KSE-100 settles above 90,000",https://www.brecorder.com/news/40329357/some-buying-momentum-persists-at-psx-kse-100-settles-above-90000,"Benchmark briefly crosses 91,000 level during intra-day trading on Monday before profit-taking erases gains",2024-10-28T22:26:03+05:00
PSX performs extremely well,https://www.brecorder.com/news/40329334/psx-performs-extremely-well,KARACHI: Pakistan Stock Exchange performed extremely well and hit historic highest ever levels during the outgoing...,2024-10-28T06:21:34+05:00
